Component / Template / React / Asset Name,File Path,Line Start,Line End,Clientlib Type,Recommended Fix Strategy,Finding Type,Static OK,Usage Notes,Code Usage
animated-content/hero-banner,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/hero-banner/variations/packagingMarketingOpportunities.html,10,10,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/hero-banner."
animated-content/hero-banner,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/hero-banner/variations/packagingMarketingOpportunities.html,68,109,,Use Hash,Style,Yes,Inline CSS rules applied within the markup,These CSS rules are embedded directly in the page to style the component. Inline styles will be rejected once unsafe-inline is removed from style-src. This belongs to animated-content/hero-banner.
animated-content/hero-banner,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/hero-banner/variations/packagingMarketingOpportunities.html,110,110,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/hero-banner."
animated-content/page-navigation,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/page-navigation/page-navigation.html,8,12,Specific Clientlib,Migrate to Specific Clientlib,Script,No,Inline script for component or page behavior,"This inline script drives component behavior or templating logic and is currently in the markup. It executes as soon as the page loads, so removing unsafe-inline will block it. This belongs to animated-content/page-navigation."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/chemical-impact.html,11,11,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/chemical-impact.html,21,21,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/chemical-impact.html,24,24,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/chemical-impact.html,27,27,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/creative-campaigns.html,11,11,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/creative-campaigns.html,21,21,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/creative-campaigns.html,24,24,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/creative-campaigns.html,27,27,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/death-of-the-double-bass.html,11,11,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/death-of-the-double-bass.html,21,21,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/death-of-the-double-bass.html,24,24,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/death-of-the-double-bass.html,27,27,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/dhl-boxes.html,7,7,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/dhl-boxes.html,13,13,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/dhl-boxes.html,16,16,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/dhl-boxes.html,19,19,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/e-commerce-winning.html,7,7,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/e-commerce-winning.html,10,10,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/e-commerce-winning.html,21,21,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/e-commerce-winning.html,24,24,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/e-commerce-winning.html,27,27,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/e-commerce-winning.html,30,30,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
animated-content/parallax-section,/ui.apps/src/main/content/jcr_root/apps/dhl/components/animated-content/parallax-section/variations/getting-certified.html,11,11,Specific Clientlib,Migrate to Specific Clientlib,StyleAttr,,Inline style attribute applied directly to markup,"An inline style attribute is setting presentation directly on the element. CSP without unsafe-inline forbids this, so the style needs to become a class or JS-applied style. This belongs to animated-content/parallax-section."
